Video ID,PhraseEmoji
2020-0207-101955-118854,"[{""phrase"": ""cars moving on highway"", ""emoji"": '🚗'}, {""phrase"": ""trucks driving on urban highway"", ""emoji"": '🚚'}, {""phrase"": ""vehicles moving in different lanes"", ""emoji"": '🚗'}, {""phrase"": ""cars and trucks on city highway"", ""emoji"": '🚗'}, {""phrase"": ""traffic flowing on urban highway"", ""emoji"": '🚗'}]"
titan-clip_688_000534,"[{""phrase"": ""pedestrians walking on commercial street"", ""emoji"": '🚶‍♀️'}, {""phrase"": ""people carrying handbags shopping"", ""emoji"": '🛍️'}, {""phrase"": ""crowded street lined with shops"", ""emoji"": '🏙️'}, {""phrase"": ""people walking along busy street"", ""emoji"": '🚶‍♂️'}, {""phrase"": ""street filled with shops and signs"", ""emoji"": '🏮'}]"
2020-0212-102546-080048,"[{""phrase"": ""truck and car moving on highway"", ""emoji"": '🚚'}, {""phrase"": ""vehicles driving on right side of road"", ""emoji"": '🚗'}, {""phrase"": ""truck moving towards right side of frame"", ""emoji"": '➡️'}, {""phrase"": ""car moving behind and to left of truck"", ""emoji"": '🚗'}, {""phrase"": ""vehicles following traffic rules on highway"", ""emoji"": '🚦'}]"
2020-0214-145407-050537,"[{""phrase"": ""black sedan moving through city traffic"", ""emoji"": 🚗}, {""phrase"": ""red sports car driving on city street"", ""emoji"": 🏎️}, {""phrase"": ""vehicles navigating through urban rush hour"", ""emoji"": 🚚}, {""phrase"": ""cars and trucks on busy city street"", ""emoji"": 🚌}, {""phrase"": ""sedan and sports car passing each other"", ""emoji"": 🚗}]"
titan-clip_265_000210,"[{""phrase"": ""pedestrians walking on city sidewalks"", ""emoji"": '🚶‍♀️'}, {""phrase"": ""cars navigating city streets"", ""emoji"": '🚗'}, {""phrase"": ""people crossing street at crosswalks"", ""emoji"": '🚶‍♂️'}, {""phrase"": ""truck driving on city road"", ""emoji"": '🚚'}, {""phrase"": ""traffic lights regulating city traffic"", ""emoji"": '⚠️'}]"
2020-0207-151349-092983,"[{""phrase"": ""truck driving on multi-lane highway"", ""emoji"": 🚚}, {""phrase"": ""truck with trailer on urban highway"", ""emoji"": 🚚}, {""phrase"": ""cityscape with tall buildings behind truck"", ""emoji"": 🏙️}, {""phrase"": ""truck transporting goods in urban area"", ""emoji"": 🚚}, {""phrase"": ""large truck on busy city highway"", ""emoji"": 🚚}]"
2020-0227-153144-016468,"[{""phrase"": ""vehicles driving down city street"", ""emoji"": '🚗'}, {""phrase"": ""cars and truck on multi-lane road"", ""emoji"": '🚚'}, {""phrase"": ""tall buildings surrounding city street"", ""emoji"": '🏙️'}, {""phrase"": ""vehicles moving on urban road"", ""emoji"": '🛣️'}, {""phrase"": ""cars in motion on city road"", ""emoji"": '🚐'}]"
2020-0131-135401-047742,"[{""phrase"": ""cars driving down city street"", ""emoji"": '🚗'}, {""phrase"": ""diverse vehicles on busy street"", ""emoji"": '🚌'}, {""phrase"": ""pedestrians walking on city sidewalk"", ""emoji"": '🚶‍♂️'}, {""phrase"": ""buildings lining city street"", ""emoji"": '🏢'}, {""phrase"": ""cars moving on urban street"", ""emoji"": '🚗'}]"
titan-clip_866_000312,"[{""phrase"": ""cyclist in white shirt riding bicycle"", ""emoji"": '🚴'}, {""phrase"": ""cyclist navigating through urban landscape"", ""emoji"": '🗺️'}, {""phrase"": ""pedestrians and cyclists on city street"", ""emoji"": '🚶'}, {""phrase"": ""cyclist riding past city buildings"", ""emoji"": '🏙️'}, {""phrase"": ""people and vehicles in city street"", ""emoji"": '🚗'}]"
2020-0227-104226-097023,"[{""phrase"": ""cars moving along highway"", ""emoji"": ""🚗""}, {""phrase"": ""vehicles driving on urban road"", ""emoji"": ""🚗""}, {""phrase"": ""cars driving on highway with fence"", ""emoji"": ""🚗""}, {""phrase"": ""cars moving in same direction"", ""emoji"": ""🚗""}, {""phrase"": ""cars driving under bridge"", ""emoji"": ""🌉""}]"
2020-0131-135401-065958,"[{""phrase"": ""white van driving on right side"", ""emoji"": ""🚐""}, {""phrase"": ""cars and van following traffic"", ""emoji"": ""🚗""}, {""phrase"": ""vehicles moving on urban street"", ""emoji"": ""🚚""}, {""phrase"": ""bridge in background of city street"", ""emoji"": ""🌉""}, {""phrase"": ""van following flow of traffic"", ""emoji"": ""🚐""}]"
titan-clip_705_000348,"[{""phrase"": ""delivery truck parked on street"", ""emoji"": '🚚'}, {""phrase"": ""van parked behind delivery truck"", ""emoji"": '🚐'}, {""phrase"": ""trucks parked on Japanese street"", ""emoji"": '🚚'}, {""phrase"": ""delivery truck on urban street"", ""emoji"": '🚚'}, {""phrase"": ""trucks and vans on city street"", ""emoji"": '🚐'}]"
2020-0221-115122-020800,"[{""phrase"": ""cars driving on city street"", ""emoji"": 🚗}, {""phrase"": ""bus moving on urban road"", ""emoji"": 🚌}, {""phrase"": ""trees lining city street"", ""emoji"": 🌳}, {""phrase"": ""vehicles driving under overpass"", ""emoji"": 🚗}, {""phrase"": ""cars and bus on busy city street"", ""emoji"": 🚌}]"
2020-0205-103411-012665,"[{""phrase"": ""black car moves right on city street"", ""emoji"": 🚗}, {""phrase"": ""silver van drives left on city street"", ""emoji"": 🚐}, {""phrase"": ""cars move in opposite directions on city street"", ""emoji"": 🚗}, {""phrase"": ""vehicles navigate urban street with traffic lights"", ""emoji"": 🚦}, {""phrase"": ""city street with cars and buildings in background"", ""emoji"": 🏙️}]"
2020-0207-151349-060256,"[{""phrase"": ""cars moving on city street"", ""emoji"": '🚗'}, {""phrase"": ""bus in motion on city road"", ""emoji"": '🚌'}, {""phrase"": ""vehicles passing by buildings"", ""emoji"": '🏢'}, {""phrase"": ""cars driving past Japanese signage"", ""emoji"": '🚗'}, {""phrase"": ""bus driving through urban area"", ""emoji"": '🚌'}]"
2020-0131-135401-049576,"[{""phrase"": ""white car driving on right side"", ""emoji"": '🚗'}, {""phrase"": ""van parked on left side"", ""emoji"": '🚚'}, {""phrase"": ""trees lining city street"", ""emoji"": '🌳'}, {""phrase"": ""pedestrians going about daily routines"", ""emoji"": '🚶'}, {""phrase"": ""vehicles on urban city street"", ""emoji"": '🚌'}]"
2020-0203-154554-027674,"[{""phrase"": ""cars navigating city streets"", ""emoji"": '🚗'}, {""phrase"": ""drivers navigating downtown streets"", ""emoji"": '🚌'}, {""phrase"": ""vehicles in motion on city street"", ""emoji"": '🚚'}, {""phrase"": ""buses moving through city traffic"", ""emoji"": '🚌'}, {""phrase"": ""trucks driving through urban area"", ""emoji"": '🚚'}]"
2020-0131-135401-019174,"[{""phrase"": ""cars and bicycles navigating city street"", ""emoji"": 🚗}, {""phrase"": ""people walking on sidewalk and crossing street"", ""emoji"": 👣}, {""phrase"": ""truck driving on city street with traffic lights"", ""emoji"": 🚚}, {""phrase"": ""pedestrians crossing street at designated crosswalks"", ""emoji"": 🚶}, {""phrase"": ""city street scene with buildings and clear sky"", ""emoji"": 🌆}]"
2020-0226-140503-024901,"[{""phrase"": ""cars driving on city street"", ""emoji"": 🚗}, {""phrase"": ""cars passing trees on city street"", ""emoji"": 🌳}, {""phrase"": ""cars moving in front of buildings"", ""emoji"": 🏢}, {""phrase"": ""cars navigating through urban landscape"", ""emoji"": 🗺️}, {""phrase"": ""unique car driving on busy street"", ""emoji"": 🚓}]"
2020-0220-102630-002194,"[{""phrase"": ""black SUV driving on city street"", ""emoji"": 🚗}, {""phrase"": ""white van moving on urban road"", ""emoji"": 🚐}, {""phrase"": ""vehicles and pedestrians on city street"", ""emoji"": 🚶}, {""phrase"": ""cars passing traffic lights and signs"", ""emoji"": 🚦}, {""phrase"": ""SUV and van moving in opposite directions"", ""emoji"": ⇌}]"
2020-0213-143552-005496,"[{""phrase"": ""motorcycle moving on one way street"", ""emoji"": 🚲}, {""phrase"": ""bicycle moving on city street"", ""emoji"": 🚴}, {""phrase"": ""vehicles moving on urban road"", ""emoji"": 🚗}, {""phrase"": ""motorcycle and bicycle on city street"", ""emoji"": 🚴}, {""phrase"": ""vehicles passing parked cars on street"", ""emoji"": 🚗}]"
2020-0127-132751-051086,"[{""phrase"": ""silver car driving on city street"", ""emoji"": 🚗}, {""phrase"": ""blue bus moving on left side road"", ""emoji"": 🚌}, {""phrase"": ""vehicles and pedestrians on urban street"", ""emoji"": 🚶}, {""phrase"": ""traffic lights lining city road"", ""emoji"": ⚠️}, {""phrase"": ""trees and buildings on city street"", ""emoji"": 🌳}]"
2020-0131-135401-034328,"[{""phrase"": ""white car and red fire truck stationary"", ""emoji"": ""🚒""}, {""phrase"": ""vehicles waiting at traffic light"", ""emoji"": ""🚦""}, {""phrase"": ""cars parked on city street"", ""emoji"": ""🚗""}, {""phrase"": ""urban setting with buildings and traffic light"", ""emoji"": ""🏙️""}, {""phrase"": ""city street with parked vehicles"", ""emoji"": ""🚐""}]"
titan-clip_89_000102,"[{""phrase"": ""vehicles moving along city road"", ""emoji"": 🚗}, {""phrase"": ""pedestrians walking on city sidewalks"", ""emoji"": 👥}, {""phrase"": ""shops lining city street"", ""emoji"": 🏢}, {""phrase"": ""people going about daily routines"", ""emoji"": 👋}, {""phrase"": ""tall buildings in city background"", ""emoji"": 🏙️}]"
2020-0226-101332-004585,"[{""phrase"": ""people crossing street at crosswalk"", ""emoji"": '🚶‍♂️'}, {""phrase"": ""kids wearing jackets walking on street"", ""emoji"": '👧'}, {""phrase"": ""cars and truck on busy city street"", ""emoji"": '🚚'}, {""phrase"": ""adults and kids walking on city sidewalk"", ""emoji"": '👫'}, {""phrase"": ""vehicles passing by traffic lights"", ""emoji"": '🚦'}]"
2020-0210-155354-035959,"[{""phrase"": ""cars navigating busy intersection"", ""emoji"": 🚗}, {""phrase"": ""motorcycle moving through city traffic"", ""emoji"": 🛣️}, {""phrase"": ""people walking in city street scene"", ""emoji"": 👥}, {""phrase"": ""truck driving through urban traffic"", ""emoji"": 🚚}, {""phrase"": ""pedestrians crossing busy city street"", ""emoji"": 🚶}]"
2020-0225-145150-013273,"[{""phrase"": ""silver minivan parked on city street"", ""emoji"": 🚗}, {""phrase"": ""minivan with illuminated rear window"", ""emoji"": ✨}, {""phrase"": ""vehicles parked near traffic light"", ""emoji"": 🚦}, {""phrase"": ""white van and car on city street"", ""emoji"": 🚌}, {""phrase"": ""minivan with GRAND text on window"", ""emoji"": 📣}]"
2020-0226-140503-005213,"[{""phrase"": ""pedestrians navigating rainy crosswalk"", ""emoji"": '☂️'}, {""phrase"": ""cars and truck in rainy city street"", ""emoji"": '🚚'}, {""phrase"": ""people holding umbrellas on sidewalk"", ""emoji"": '⚔️'}, {""phrase"": ""vehicles driving in rainy urban environment"", ""emoji"": '🚗'}, {""phrase"": ""individuals with umbrellas crossing street"", ""emoji"": '☔️'}]"
2020-0214-102601-066341,"[{""phrase"": ""cars driving on multi-lane road"", ""emoji"": 🚗}, {""phrase"": ""bus moving in urban traffic"", ""emoji"": 🚌}, {""phrase"": ""vehicles passing traffic lights"", ""emoji"": ⚡️}, {""phrase"": ""cars driving near buildings and trees"", ""emoji"": 🏢}, {""phrase"": ""vehicles moving on overcast day"", ""emoji"": ☁️}]"
2020-0129-105040-051348,"[{""phrase"": ""car and van driving on right side"", ""emoji"": 🚗}, {""phrase"": ""vehicles driving under highway overpass"", ""emoji"": 🌉}, {""phrase"": ""white car driving in front of van"", ""emoji"": 🚗}, {""phrase"": ""cars driving on multi-lane road"", ""emoji"": 🚗}, {""phrase"": ""city street with traffic lights"", ""emoji"": 🚦}]"
2020-0214-102601-066684,"[{""phrase"": ""Honda car moving right on highway"", ""emoji"": 🚗}, {""phrase"": ""SUV moving left on divided highway"", ""emoji"": 🚗}, {""phrase"": ""cars moving on road with traffic lights"", ""emoji"": 🚦}, {""phrase"": ""vehicles moving on urban highway road"", ""emoji"": 🚗}, {""phrase"": ""cars driving on road with signs and banners"", ""emoji"": 🚗}]"
2020-0129-105040-047009,"[{""phrase"": ""cars and trucks moving under overpass"", ""emoji"": 🚚}, {""phrase"": ""pedestrians carrying handbags on sidewalk"", ""emoji"": 👜}, {""phrase"": ""vehicles and people on city street"", ""emoji"": 🚗}, {""phrase"": ""people walking under large overpass"", ""emoji"": 🌉}, {""phrase"": ""cars and trucks on busy city street"", ""emoji"": 🚌}]"
2020-0227-104226-096496,"[{""phrase"": ""cars and trucks navigating urban traffic"", ""emoji"": 🚚}, {""phrase"": ""vehicles changing lanes on multi-lane road"", ""emoji"": 🚗}, {""phrase"": ""drivers navigating city traffic and architecture"", ""emoji"": 🚗}, {""phrase"": ""cars and trucks driving in urban environment"", ""emoji"": 🚌}, {""phrase"": ""drivers making turns on city street"", ""emoji"": 🚗}]"
2020-0217-144444-018524,"[{""phrase"": ""car driving on city street"", ""emoji"": '🚗'}, {""phrase"": ""pedestrian walking near cars"", ""emoji"": '🚶'}, {""phrase"": ""cars driving under city bridge"", ""emoji"": '🌉'}, {""phrase"": ""white car with rear wiper"", ""emoji"": '☔️'}, {""phrase"": ""cars and pedestrian in urban area"", ""emoji"": '🏙️'}]"
titan-clip_355_000384,"[{""phrase"": ""van parked on city street"", ""emoji"": '🚐'}, {""phrase"": ""people walking on sidewalk with handbags"", ""emoji"": '👜'}, {""phrase"": ""trees lining busy city street"", ""emoji"": '🌳'}, {""phrase"": ""orange cones on city street with roadwork"", ""emoji"": '🚧'}, {""phrase"": ""shops with Asian signage on city street"", ""emoji"": '🏮'}]"
2020-0218-103119-016564,"[{""phrase"": ""car moving towards right side"", ""emoji"": 🚗}, {""phrase"": ""truck moving in opposite direction"", ""emoji"": 🚚}, {""phrase"": ""vehicles navigating city streets"", ""emoji"": 🚗}, {""phrase"": ""city street with traffic lights"", ""emoji"": ⚡️}, {""phrase"": ""buildings lining urban street"", ""emoji"": 🏢}]"
2020-0131-135401-048535,"[{""phrase"": ""white car driving down city street"", ""emoji"": '🚗'}, {""phrase"": ""car in right lane with busy traffic"", ""emoji"": '🚗'}, {""phrase"": ""vehicles driving past urban buildings"", ""emoji"": '🏙️'}, {""phrase"": ""people in vehicles on city street"", ""emoji"": '🚗'}, {""phrase"": ""car moving through densely populated area"", ""emoji"": '🚗'}]"
titan-clip_1375_000246,"[{""phrase"": ""people walking along sidewalk"", ""emoji"": '🚶‍♂️'}, {""phrase"": ""pedestrians crossing street at crosswalk"", ""emoji"": '🚦'}, {""phrase"": ""people carrying handbags on city street"", ""emoji"": '👜'}, {""phrase"": ""shops lining city street"", ""emoji"": '🏢'}, {""phrase"": ""pedestrians walking in urban setting"", ""emoji"": '🌆'}]"
2020-0131-135401-016739,"[{""phrase"": ""cars and truck moving along road"", ""emoji"": ""🚚""}, {""phrase"": ""vehicles moving in urban environment"", ""emoji"": ""🏙️""}, {""phrase"": ""cars and truck in city street scene"", ""emoji"": ""🚗""}, {""phrase"": ""traffic flowing in city street"", ""emoji"": ""🚦""}, {""phrase"": ""vehicles in motion on city road"", ""emoji"": ""🛣️""}]"
2020-0227-104226-054590,"[{""phrase"": ""cars driving on city street"", ""emoji"": 🚗}, {""phrase"": ""motorcycles moving in both directions"", ""emoji"": 🛣️}, {""phrase"": ""vehicles navigating urban environment"", ""emoji"": 🏙️}, {""phrase"": ""traffic lights regulating city street"", ""emoji"": ⚡️}, {""phrase"": ""cars and motorcycles on two-way street"", ""emoji"": 🚦}]"
2020-0221-115122-031139,"[{""phrase"": ""cars driving down city street"", ""emoji"": '🚗'}, {""phrase"": ""cars and pedestrians on urban street"", ""emoji"": '🚶‍♂️'}, {""phrase"": ""trees lining city street with cars"", ""emoji"": '🌳'}, {""phrase"": ""cars varying in size and color moving"", ""emoji"": '🚗'}, {""phrase"": ""buildings and trees on city street"", ""emoji"": '🌆'}]"
2020-0207-101955-065407,"[{""phrase"": ""white car driving on right side"", ""emoji"": 🚗}, {""phrase"": ""white truck on left side road"", ""emoji"": 🚚}, {""phrase"": ""cars moving near Toyota building"", ""emoji"": 🏢}, {""phrase"": ""vehicles passing trees on city street"", ""emoji"": 🌳}, {""phrase"": ""truck and car on busy city road"", ""emoji"": 🚗}]"
2020-0203-114632-082401,"[{""phrase"": ""silver car driving under overpass"", ""emoji"": 🚗}, {""phrase"": ""car navigating through city traffic"", ""emoji"": 🚗}, {""phrase"": ""vehicles obeying traffic signals"", ""emoji"": 🚦}, {""phrase"": ""truck and bus in city traffic"", ""emoji"": 🚌}, {""phrase"": ""car moving under concrete overpass"", ""emoji"": 🌉}]"
2020-0207-101955-116198,"[{""phrase"": ""car moving right on highway"", ""emoji"": '🚗'}, {""phrase"": ""truck moving left on highway"", ""emoji"": '🚚'}, {""phrase"": ""vehicles driving on concrete barrier highway"", ""emoji"": '🚗'}, {""phrase"": ""cars and trucks passing on highway"", ""emoji"": '🚚'}, {""phrase"": ""vehicles in motion on highway"", ""emoji"": '🚗'}]"
2020-0228-150133-021237,"[{""phrase"": ""van and car driving down street"", ""emoji"": '🚗'}, {""phrase"": ""vehicles and pedestrians on city street"", ""emoji"": '🚲'}, {""phrase"": ""cars and motorcycles on urban street"", ""emoji"": '🛣️'}, {""phrase"": ""people walking on city sidewalks"", ""emoji"": '🚶‍♂️'}, {""phrase"": ""van driving on right side of street"", ""emoji"": '🚌'}]"
2020-0207-101955-120799,"[{""phrase"": ""cars and trucks moving on multi-lane road"", ""emoji"": '🚚'}, {""phrase"": ""vehicles in motion on urban highway"", ""emoji"": '🚗'}, {""phrase"": ""city traffic with cars and trucks"", ""emoji"": '🚌'}, {""phrase"": ""cars and trucks on city highway overpass"", ""emoji"": '🚗'}, {""phrase"": ""urban traffic with vehicles in motion"", ""emoji"": '🚚'}]"
2020-0127-132751-069822,"[{""phrase"": ""van driving towards camera on bridge"", ""emoji"": '🚐'}, {""phrase"": ""truck with crane on bridge"", ""emoji"": '🏗️'}, {""phrase"": ""vehicles on bridge with red stripes"", ""emoji"": '🚗'}, {""phrase"": ""van driving on striped bridge road"", ""emoji"": '🚐'}, {""phrase"": ""truck waiting on striped bridge"", ""emoji"": '🚚'}]"
2020-0131-103016-074932,"[{""phrase"": ""cars and trucks moving on city street"", ""emoji"": 🚚}, {""phrase"": ""vehicles driving in both directions"", ""emoji"": 🚗}, {""phrase"": ""white car driving towards right side"", ""emoji"": 🚗}, {""phrase"": ""cars and trucks parked on street"", ""emoji"": 🛑}, {""phrase"": ""buildings lining city street"", ""emoji"": 🏢}]"
2020-0205-152530-028953,"[{""phrase"": ""SUV driving on right side of road"", ""emoji"": 🚗}, {""phrase"": ""red sports car on left side of road"", ""emoji"": 🚗}, {""phrase"": ""cars and pedestrians on multi-lane road"", ""emoji"": 🚗}, {""phrase"": ""vehicles and pedestrians in city street scene"", ""emoji"": 🚗}, {""phrase"": ""cars and people at pedestrian crossing"", ""emoji"": 🚗}]"
2020-0206-142535-038197,"[{""phrase"": ""vehicles driving down city street"", ""emoji"": '🚗'}, {""phrase"": ""cars and trucks parked along road"", ""emoji"": '🚚'}, {""phrase"": ""bus driving through urban area"", ""emoji"": '🚌'}, {""phrase"": ""trees lining city street"", ""emoji"": '🌳'}, {""phrase"": ""people going about daily routines"", ""emoji"": '👥'}]"
2020-0220-102630-075437,"[{""phrase"": ""cars moving on multi-lane road"", ""emoji"": 🚗}, {""phrase"": ""bus driving on city street"", ""emoji"": 🚌}, {""phrase"": ""pedestrians crossing city street"", ""emoji"": 🚶}, {""phrase"": ""cars and bus on overcast day"", ""emoji"": ☁️}, {""phrase"": ""vehicles in motion on urban road"", ""emoji"": 🚗}]"
2020-0127-132751-044968,"[{""phrase"": ""cars driving down city street"", ""emoji"": 🚗}, {""phrase"": ""motorcycles and truck on urban road"", ""emoji"": 🛣️}, {""phrase"": ""pedestrians walking near apartment buildings"", ""emoji"": 🏢}, {""phrase"": ""vehicles navigating multi-lane street"", ""emoji"": 🚧}, {""phrase"": ""people walking on busy city sidewalk"", ""emoji"": 👥}]"
2020-0129-105040-001111,"[{""phrase"": ""white van parked on city street"", ""emoji"": 🚐}, {""phrase"": ""pedestrians walking on sidewalk"", ""emoji"": 👥}, {""phrase"": ""trees lining city street"", ""emoji"": 🌳}, {""phrase"": ""vans parked parallel to curb"", ""emoji"": 🚗}, {""phrase"": ""people walking on city sidewalk"", ""emoji"": 👣}]"
titan-clip_1346_000408,"[{""phrase"": ""truck and van driving down street"", ""emoji"": ""🚚""}, {""phrase"": ""cars and bus in busy traffic"", ""emoji"": ""🚌""}, {""phrase"": ""pedestrians on city street sidewalk"", ""emoji"": ""🚶‍♂️""}, {""phrase"": ""vehicles driving past tall buildings"", ""emoji"": ""🏙️""}, {""phrase"": ""people walking on city street sidewalk"", ""emoji"": ""👥""}]"
2020-0213-143552-060623,"[{""phrase"": ""truck parked on city street"", ""emoji"": ""🚚""}, {""phrase"": ""vehicles on urban road"", ""emoji"": ""🚌""}, {""phrase"": ""truck loading on city street"", ""emoji"": ""🚛""}, {""phrase"": ""bus on city street with trees"", ""emoji"": ""🌳""}, {""phrase"": ""truck unloading on urban road"", ""emoji"": ""🚚""}]"
2020-0205-152530-007746,"[{""phrase"": ""person crossing street at crosswalk"", ""emoji"": '🚶'}, {""phrase"": ""person waiting to cross street"", ""emoji"": '👥'}, {""phrase"": ""high-rise apartment complex in city"", ""emoji"": '🏢'}, {""phrase"": ""trees lining city street with traffic"", ""emoji"": '🌳'}, {""phrase"": ""people going about daily routines"", ""emoji"": '🕒'}]"
2020-0220-151845-006248,"[{""phrase"": ""cars driving down city street"", ""emoji"": '🚗'}, {""phrase"": ""people carrying handbags on sidewalk"", ""emoji"": '👜'}, {""phrase"": ""trucks moving on urban road"", ""emoji"": '🚚'}, {""phrase"": ""pedestrians walking in front of Japanese signs"", ""emoji"": '🚶'}, {""phrase"": ""vehicles passing by Japanese street signs"", ""emoji"": '🗺️'}]"
2020-0131-135401-014978,"[{""phrase"": ""cars driving down city street"", ""emoji"": 🚗}, {""phrase"": ""pedestrians walking on sidewalk"", ""emoji"": 👣}, {""phrase"": ""cars and pedestrians in front of building"", ""emoji"": 🏢}, {""phrase"": ""vehicles moving on city road"", ""emoji"": 🚚}, {""phrase"": ""people walking in front of office building"", ""emoji"": 🏢}]"
titan-clip_1117_000222,"[{""phrase"": ""delivery trucks parked on street"", ""emoji"": '🚚'}, {""phrase"": ""pedestrians walking on sidewalk"", ""emoji"": '🚶‍♀️'}, {""phrase"": ""people carrying handbags on street"", ""emoji"": '👜'}, {""phrase"": ""trucks waiting to be unloaded"", ""emoji"": '🚮'}, {""phrase"": ""pedestrians and trucks on commercial street"", ""emoji"": '🏙️'}]"
2020-0220-102630-043057,"[{""phrase"": ""military truck parked on city street"", ""emoji"": '🚚'}, {""phrase"": ""crane truck driving down city street"", ""emoji"": '🏗️'}, {""phrase"": ""city street with apartment buildings"", ""emoji"": '🏙️'}, {""phrase"": ""urban street with multiple vehicles"", ""emoji"": '🚗'}, {""phrase"": ""green military truck on urban road"", ""emoji"": '🚚'}]"
2020-0207-101955-117419,"[{""phrase"": ""blue car driving on city street"", ""emoji"": '🚗'}, {""phrase"": ""cars and trucks in busy traffic"", ""emoji"": '🚌'}, {""phrase"": ""pedestrian crossing on urban street"", ""emoji"": '🚶‍♂️'}, {""phrase"": ""blue car navigating through traffic"", ""emoji"": '🚗'}, {""phrase"": ""cars driving on right side road"", ""emoji"": '🚗'}]"
2020-0129-144857-003479,"[{""phrase"": ""van and car driving down street"", ""emoji"": 🚗}, {""phrase"": ""motorcycle and truck on city street"", ""emoji"": 🚲}, {""phrase"": ""pedestrians walking on sidewalks"", ""emoji"": 👣}, {""phrase"": ""vehicles driving on dense urban street"", ""emoji"": 🚗}, {""phrase"": ""cars and motorcycles on city road"", ""emoji"": 🛣️}]"
